date,team1,score1,team2,score2
2016-01-24,TSM,7,Winterfox,16
2016-01-24,TSM,11,Winterfox,16
2016-01-24,Arcade,24,Rebels,26
2016-01-24,Arcade,16,Rebels,9
2016-01-24,Rebels,16,Arcade,11
2016-01-24,Natus Vincere,19,Luminosity,16
2016-01-24,Luminosity,16,Natus Vincere,19
2016-01-24,Method,16,Gambit,14
2016-01-24,Method,11,Gambit,16
2016-01-24,Method,8,Gambit,16
2016-01-24,Splyce,12,Games Academy,16
2016-01-24,Splyce,9,Games Academy,16
2016-01-24,Rebels,4,Gambit,16
2016-01-24,Gambit,16,Rebels,3
2016-01-24,OpTic,16,Winterfox,8
2016-01-24,Winterfox,16,OpTic,9
2016-01-24,Winterfox,16,OpTic,10
2016-01-25,Games Academy,16,Winterfox,4
2016-01-25,Games Academy,12,Winterfox,16
2016-01-25,Winterfox,10,Games Academy,16
2016-01-25,CeX,14,seven,16
2016-01-25,CeX,16,seven,10
2016-01-25,CeX,9,seven,16
2016-01-25,eSuba,16,neXtPlease!,10
2016-01-25,neXtPlease!,3,eSuba,16
2016-01-26,neXtPlease!,16,CeX,9
2016-01-26,seven,13,eSuba,16
2016-01-26,eSuba,16,seven,12
2016-01-26,neXtPlease!,16,seven,7
2016-01-26,neXtPlease!,16,eSuba,21
2016-01-28,EU4IA,16,Epiphany Bolt,10
2016-01-28,eSuba,5,Method,16
2016-01-28,fm-eSports,16,Lions,14
2016-01-28,Imperial Dragons,8,GameAgents,16
2016-01-29,CyberZen,16,Risky,10
2016-01-29,Chiefs,16,MVP.karnal,14
2016-01-29,CyberZen,16,Chiefs,3
2016-01-29,MVP.karnal,8,Risky,16
2016-01-29,Chiefs,16,Risky,9
2016-01-29,E-frag.net,16,CG,10
2016-01-29,PENTA,16,LDLC White,13
2016-01-29,CG,16,LDLC White,13
2016-01-29,PENTA,3,E-frag.net,16
2016-01-29,Eastern Vikings,10,Granted,16
2016-01-29,PENTA,7,E-frag.net,16
2016-01-29,CG,16,PENTA,6
2016-01-29,PENTA,21,CG,19
2016-01-29,PENTA,21,CG,17
2016-01-29,Method,16,EU4IA,9
2016-01-29,Method,16,EU4IA,6
2016-01-30,Renegades,16,Eat You Alive,2
2016-01-30,Renegades,13,TheMongolz,16
2016-01-30,Eat You Alive,7,Renegades,16
2016-01-30,Lemondogs,14,HellRaisers,16
2016-01-30,DenDD,2,PixelFire,16
2016-01-30,DenDD,16,Lemondogs,13
2016-01-30,HellRaisers,9,PixelFire,16
2016-01-30,HellRaisers,16,PixelFire,14
2016-01-30,HellRaisers,16,PixelFire,14
2016-01-30,fm-eSports,19,GameAgents,17
2016-01-30,fm-eSports,16,GameAgents,13
2016-01-30,DenDD,38,PixelFire,41
2016-01-30,PixelFire,16,DenDD,5
2016-01-31,Chiefs,16,TheMongolz,13
2016-01-31,Chiefs,10,TheMongolz,16
2016-01-31,TheMongolz,16,Chiefs,9
2016-01-31,Renegades,16,CyberZen,8
2016-01-31,Renegades,16,CyberZen,4
2016-01-31,HellRaisers,21,PENTA,15
2016-01-31,HellRaisers,11,PENTA,16
2016-01-31,PENTA,10,HellRaisers,16
2016-01-31,E-frag.net,16,PixelFire,12
2016-01-31,E-frag.net,13,PixelFire,16
2016-01-31,PixelFire,8,E-frag.net,16
2016-01-31,mousesports,9,dignitas,16
2016-01-31,mousesports,3,dignitas,16
2016-01-31,NiP,9,ex-Titan,16
2016-01-31,ex-Titan,16,NiP,13
2016-01-31,HellRaisers,16,E-frag.net,11
2016-01-31,HellRaisers,6,E-frag.net,16
2016-01-31,HellRaisers,16,E-frag.net,6
2016-02-01,TheMongolz,16,Renegades,9
2016-02-01,Renegades,2,TheMongolz,16
2016-02-04,CLG,16,EnVyUs,12
2016-02-04,CLG,6,EnVyUs,16
2016-02-04,CLG,13,EnVyUs,16
2016-02-04,dignitas,16,FlipSid3,13
2016-02-04,FlipSid3,12,dignitas,16
2016-02-04,dignitas,16,EnVyUs,9
2016-02-04,dignitas,16,EnVyUs,5
2016-02-04,FlipSid3,14,CLG,16
2016-02-04,CLG,16,FlipSid3,4
2016-02-04,Sine Metu,14,Platinium,16
2016-02-04,CLG,16,EnVyUs,11
2016-02-04,CLG,4,EnVyUs,16
2016-02-04,CLG,4,EnVyUs,16
2016-02-05,G2,17,Cloud9,19
2016-02-05,Cloud9,13,G2,16
2016-02-05,Cloud9,6,G2,16
2016-02-05,LDLC Blue,16,CPH Wolves,13
2016-02-05,RCTIC,16,Orgless,8
2016-02-05,LDLC Blue,16,RCTIC,14
2016-02-05,CPH Wolves,16,Orgless,8
2016-02-05,Method,2,Astralis,16
2016-02-05,Method,4,Astralis,16
2016-02-05,Epiphany Bolt,14,LDLC White,16
2016-02-05,Cloud9,16,Method,14
2016-02-05,Cloud9,16,Method,11
2016-02-05,Millenium,12,ENCE,16
2016-02-05,Millenium,12,Epiphany Bolt,16
2016-02-05,ENCE,16,LDLC White,14
2016-02-05,Astralis,16,G2,11
2016-02-05,G2,16,Astralis,13
2016-02-05,G2,15,Astralis,19
2016-02-05,KoN Norway,16,KoN Finland,8
2016-02-05,CPH Wolves,16,RCTIC,13
2016-02-05,CPH Wolves,16,RCTIC,3
2016-02-05,SK,16,ENCE,2
2016-02-05,ENCE,6,SK,16
2016-02-05,KoN Norway,11,KoN Denmark,16
2016-02-05,KoN Denmark,14,KoN Sweden,16
2016-02-05,Cloud9,3,G2,16
2016-02-05,Cloud9,11,G2,16
2016-02-05,Epiphany Bolt,1,LDLC White,16
2016-02-05,LDLC White,16,Epiphany Bolt,13
2016-02-05,YP,16,Ancient,14
2016-02-05,Ancient,0,YP,16
2016-02-06,Cloud9,13,EnVyUs,16
2016-02-06,Cloud9,12,EnVyUs,16
2016-02-06,Quest,16,Binary Dragons,14
2016-02-06,Binary Dragons,27,Quest,31
2016-02-06,LDLC Blue,2,LDLC White,16
2016-02-06,LDLC White,16,LDLC Blue,9
2016-02-06,EYES ON U,10,PENTA,16
2016-02-06,EYES ON U,7,PENTA,16
2016-02-06,Playing Ducks,8,EURONICS,16
2016-02-06,EURONICS,2,Playing Ducks,16
2016-02-06,Playing Ducks,16,EURONICS,6
2016-02-06,CLG,16,G2,14
2016-02-06,CLG,6,G2,16
2016-02-06,CLG,16,G2,10
2016-02-06,PARTY,16,8bit,7
2016-02-06,PARTY,11,8bit,16
2016-02-06,PARTY,14,8bit,16
2016-02-06,ENCE,16,CPH Wolves,7
2016-02-06,CPH Wolves,4,ENCE,16
2016-02-06,EYES ON U,13,EURONICS,16
2016-02-06,EURONICS,13,EYES ON U,16
2016-02-06,EYES ON U,16,EURONICS,5
2016-02-06,Astralis,13,EnVyUs,16
2016-02-06,EnVyUs,13,Astralis,16
2016-02-06,EnVyUs,16,Astralis,8
2016-02-06,Arcade,16,eXplosive,12
