date,team1,score1,team2,score2
2016-04-21 00:00:00,mousesports,15,Virtus.pro,19
2016-04-21 00:00:00,dignitas,7,FaZe,16
2016-04-21 00:00:00,mousesports,16,Virtus.pro,5
2016-04-21 00:00:00,HellRaisers,16,Gambit,3
2016-04-21 00:00:00,Gambit,5,HellRaisers,16
2016-04-21 00:00:00,dignitas,16,FaZe,9
2016-04-21 00:00:00,CPH Wolves,16,RCTIC,8
2016-04-21 00:00:00,CPH Wolves,16,RCTIC,6
2016-04-21 00:00:00,NiP,16,EnVyUs,3
2016-04-21 00:00:00,FlipSid3,2,FaZe,16
2016-04-21 00:00:00,NiP,16,EnVyUs,10
2016-04-21 00:00:00,SuperMassive,16,CS-GO.rs,11
2016-04-21 00:00:00,FlipSid3,8,FaZe,16
2016-04-21 00:00:00,HellRaisers,16,E-frag.net,9
2016-04-21 00:00:00,E-frag.net,14,HellRaisers,16
2016-04-21 00:00:00,Torpedo,4,Escape,16
2016-04-21 00:00:00,Torpedo,11,Escape,16
2016-04-21 00:00:00,Space Soldiers,16,dignitas,13
2016-04-21 00:00:00,dignitas,14,Space Soldiers,16
2016-04-21 00:00:00,CLG,16,KKona,10
2016-04-21 00:00:00,Cloud9,16,Echo Fox,11
2016-04-21 00:00:00,Cloud9,7,Echo Fox,16
2016-04-21 00:00:00,Echo Fox,8,Cloud9,16
2016-04-21 00:00:00,KKona,6,CLG,16
2016-04-21 00:00:00,Splyce,10,NRG,16
2016-04-21 00:00:00,Splyce,16,NRG,11
2016-04-20 00:00:00,fnatic,10,FaZe,16
2016-04-20 00:00:00,Luminosity,19,NRG,16
2016-04-20 00:00:00,Luminosity,16,NRG,11
2016-04-20 00:00:00,fnatic,6,FaZe,16
2016-04-20 00:00:00,Natus Vincere,3,G2,16
2016-04-20 00:00:00,dignitas,16,FlipSid3,7
2016-04-20 00:00:00,Natus Vincere,19,G2,16
2016-04-20 00:00:00,dignitas,3,FlipSid3,16
2016-04-20 00:00:00,Tempest,17,Fluffy Gangsters,19
2016-04-20 00:00:00,TEAMSWAGYOLO,16,Vesuvius,13
2016-04-20 00:00:00,Vesuvius,16,TEAMSWAGYOLO,19
2016-04-20 00:00:00,Fluffy Gangsters,19,Tempest,16
2016-04-20 00:00:00,Vesuvius,16,TEAMSWAGYOLO,7
2016-04-20 00:00:00,RB,19,SuperMassive,16
2016-04-20 00:00:00,FlipSid3,16,Natus Vincere,8
2016-04-20 00:00:00,EnVyUs,16,FaZe,11
2016-04-20 00:00:00,Natus Vincere,16,FlipSid3,12
2016-04-20 00:00:00,EnVyUs,16,FaZe,9
2016-04-20 00:00:00,Must Be Stronger,11,Digital Wave,16
2016-04-20 00:00:00,Binary Dragons Gold,8,eXplosive,16
2016-04-20 00:00:00,PiTER,13,GODSENT,16
2016-04-20 00:00:00,Must Be Stronger,14,Digital Wave,16
2016-04-20 00:00:00,Binary Dragons Gold,1,eXplosive,16
2016-04-20 00:00:00,PiTER,1,GODSENT,16
2016-04-20 00:00:00,Liquid,16,NRG,8
2016-04-20 00:00:00,Liquid,16,NRG,14
2016-04-19 00:00:00,Echo Fox,16,TSM,9
2016-04-19 00:00:00,TSM,17,Echo Fox,19
2016-04-19 00:00:00,TSM,16,Echo Fox,11
2016-04-19 00:00:00,Astralis,16,FaZe,9
2016-04-19 00:00:00,Astralis,16,FaZe,12
2016-04-19 00:00:00,RCTIC,29,Epiphany Bolt,31
2016-04-19 00:00:00,RCTIC,8,Epiphany Bolt,16
2016-04-19 00:00:00,fnatic,13,Natus Vincere,16
2016-04-19 00:00:00,Natus Vincere,11,fnatic,16
2016-04-19 00:00:00,AliGon,16,RCTIC,7
2016-04-19 00:00:00,RCTIC,9,AliGon,16
2016-04-19 00:00:00,mousesports,16,EnVyUs,8
2016-04-19 00:00:00,CS-GO.rs,7,aimclub,16
2016-04-19 00:00:00,Virtus.pro,12,FaZe,16
2016-04-19 00:00:00,FaZe,16,Virtus.pro,10
2016-04-19 00:00:00,mousesports,22,EnVyUs,19
2016-04-19 00:00:00,CPH Wolves,16,Epiphany Bolt,1
2016-04-19 00:00:00,Epiphany Bolt,5,CPH Wolves,16
2016-04-19 00:00:00,Virtus.pro,16,FaZe,8
2016-04-19 00:00:00,Without a Roof,16,compLexity,11
2016-04-19 00:00:00,compLexity,10,Without a Roof,16
2016-04-18 00:00:00,OpTic,16,Echo Fox,13
2016-04-18 00:00:00,OpTic,16,Echo Fox,11
2016-04-18 00:00:00,neXtPlease!,8,Bpro,16
2016-04-18 00:00:00,SK,16,E-frag.net,12
2016-04-18 00:00:00,E-frag.net,16,SK,8
2016-04-18 00:00:00,AliGon,16,Enso,6
2016-04-18 00:00:00,AliGon,12,Enso,16
2016-04-18 00:00:00,CPH Wolves,16,Enso,13
2016-04-18 00:00:00,Enso,12,CPH Wolves,16
2016-04-17 00:00:00,NiP,16,Natus Vincere,14
2016-04-17 00:00:00,NiP,16,Natus Vincere,14
2016-04-17 00:00:00,NiP,16,GODSENT,10
2016-04-17 00:00:00,NiP,16,GODSENT,19
