date,team1,score1,team2,score2
2016-02-29 00:00:00,LDLC Blue,16,Epiphany Bolt,3
2016-02-29 00:00:00,LDLC Blue,16,Epiphany Bolt,11
2016-02-29 00:00:00,Epiphany Bolt,16,LDLC Blue,6
2016-02-28 00:00:00,Publiclir.se,17,Galatics,19
2016-02-28 00:00:00,Publiclir.se,19,Galatics,17
2016-02-28 00:00:00,Cloud9,19,Renegades,16
2016-02-28 00:00:00,Cloud9,16,Renegades,14
2016-02-28 00:00:00,Ancient,16,Orgless,11
2016-02-28 00:00:00,Orgless,6,Ancient,16
2016-02-28 00:00:00,Preparation,16,ALTERNATE aTTaX,12
2016-02-28 00:00:00,ALTERNATE aTTaX,8,Preparation,16
2016-02-28 00:00:00,Publiclir.se,8,k1ck,16
2016-02-28 00:00:00,Publiclir.se,16,k1ck,7
2016-02-28 00:00:00,CLG,16,Vexed,13
2016-02-28 00:00:00,CLG,3,Vexed,16
2016-02-28 00:00:00,Vexed,13,CLG,16
2016-02-28 00:00:00,ALTERNATE aTTaX,3,Ancient,16
2016-02-28 00:00:00,ALTERNATE aTTaX,5,Ancient,16
2016-02-28 00:00:00,FlipSid3,16,Tempo Storm,5
2016-02-28 00:00:00,FlipSid3,16,Tempo Storm,5
2016-02-28 00:00:00,MVP.karnal,16,dream[S]cape,7
2016-02-28 00:00:00,dream[S]cape,4,MVP.karnal,16
2016-02-28 00:00:00,MVP.karnal,14,dream[S]cape,16
2016-02-28 00:00:00,Preparation,10,Orgless,16
2016-02-28 00:00:00,Orgless,16,Preparation,14
2016-02-28 00:00:00,J2G,7,dream[S]cape,16
2016-02-28 00:00:00,dream[S]cape,16,J2G,6
2016-02-27 00:00:00,HellRaisers,14,Liquid,16
2016-02-27 00:00:00,HellRaisers,16,Liquid,7
2016-02-27 00:00:00,Liquid,16,HellRaisers,4
2016-02-27 00:00:00,Renegades,11,Gambit,16
2016-02-27 00:00:00,ALTERNATE aTTaX,16,Torpedo,13
2016-02-27 00:00:00,AliGon,4,Orgless,16
2016-02-27 00:00:00,Cloud9,16,dignitas,13
2016-02-27 00:00:00,Splyce,16,Vexed,7
2016-02-27 00:00:00,AliGon,16,Torpedo,9
2016-02-27 00:00:00,ALTERNATE aTTaX,16,Orgless,13
2016-02-27 00:00:00,CLG,16,SK,13
2016-02-27 00:00:00,Torpedo,17,Orgless,19
2016-02-27 00:00:00,FlipSid3,14,G2,16
2016-02-27 00:00:00,AliGon,9,ALTERNATE aTTaX,16
2016-02-27 00:00:00,Tempo Storm,16,Selfless,4
2016-02-27 00:00:00,MVP.karnal,16,J2G,4
2016-02-27 00:00:00,J2G,6,MVP.karnal,16
2016-02-27 00:00:00,ENCE,14,Ancient,16
2016-02-27 00:00:00,Preparation,16,A LA MIX,3
2016-02-27 00:00:00,ENCE,17,Preparation,19
2016-02-27 00:00:00,A LA MIX,6,Ancient,16
