date,team1,score1,team2,score2
2016-03-25 00:00:00,Exertus fe,16,LDLC fe,11
2016-03-25 00:00:00,Exertus fe,16,LDLC fe,10
2016-03-25 00:00:00,Exertus fe,13,LDLC fe,16
2016-03-25 00:00:00,LGB fe,16,doyoueven fe,7
2016-03-25 00:00:00,doyoueven fe,16,LGB fe,9
2016-03-25 00:00:00,LGB fe,16,doyoueven fe,5
2016-03-25 00:00:00,ALTERNATE aTTaX,11,Preparation,16
2016-03-25 00:00:00,Plantronics,15,Publiclir.se,19
2016-03-25 00:00:00,Epsilon,14,E-frag.net,16
2016-03-25 00:00:00,Space Soldiers,16,Iwku,7
2016-03-25 00:00:00,ALSEN fe,16,nKnown fe,3
2016-03-25 00:00:00,nKnown fe,7,ALSEN fe,16
2016-03-25 00:00:00,Publiclir.se,8,SK,16
2016-03-25 00:00:00,ENCE,7,Plantronics,16
2016-03-25 00:00:00,CPH Wolves,16,E-frag.net,9
2016-03-25 00:00:00,Alpha,6,Epsilon,16
2016-03-25 00:00:00,dignitas,16,Preparation,14
2016-03-25 00:00:00,ALTERNATE aTTaX,16,Fragsters,4
2016-03-25 00:00:00,RCTIC,6,Space Soldiers,16
2016-03-25 00:00:00,Exertus fe,16,Planetkey fe,8
2016-03-25 00:00:00,Exertus fe,16,Planetkey fe,5
2016-03-25 00:00:00,HellRaisers,16,Iwku,11
2016-03-25 00:00:00,doyoueven fe,16,ENYO fe,1
2016-03-25 00:00:00,doyoueven fe,16,ENYO fe,5
2016-03-25 00:00:00,Secret fe,16,Orbit fe,6
2016-03-25 00:00:00,Orbit fe,9,Secret fe,16
2016-03-25 00:00:00,CLG Red,16,mCon fe,9
2016-03-25 00:00:00,mCon fe,10,CLG Red,16
2016-03-25 00:00:00,Karma,16,Wyvern Ladies,4
2016-03-25 00:00:00,Karma,16,Wyvern Ladies,4
2016-03-25 00:00:00,ALTERNATE aTTaX,8,Preparation,16
2016-03-25 00:00:00,Epsilon,8,E-frag.net,16
2016-03-25 00:00:00,Fragsters,7,dignitas,16
2016-03-25 00:00:00,SK,16,Plantronics,7
2016-03-25 00:00:00,ENCE,13,Publiclir.se,16
2016-03-25 00:00:00,CPH Wolves,16,Alpha,10
2016-03-25 00:00:00,RCTIC,7,Iwku,16
2016-03-25 00:00:00,HellRaisers,16,Space Soldiers,6
2016-03-25 00:00:00,One,5,Booty Clappers,16
2016-03-25 00:00:00,Insolent,16,Lucendi Azolt,7
2016-03-25 00:00:00,Devour,14,One,16
2016-03-25 00:00:00,DSS,11,Booty Clappers,16
2016-03-25 00:00:00,KKona,13,Obey.Alliance,16
2016-03-25 00:00:00,Obey.Alliance,16,KKona,5
2016-03-25 00:00:00,Obey.Alliance,12,KKona,16
2016-03-25 00:00:00,8 Minded,19,Lucendi Azolt,21
2016-03-24 00:00:00,Escape,16,YP,7
2016-03-24 00:00:00,YP,7,Escape,16
2016-03-24 00:00:00,Publiclir.se,16,Orbit,11
2016-03-24 00:00:00,Publiclir.se,8,Orbit,16
2016-03-26 00:00:00,YP Ladies,16,ALSEN fe,5
2016-03-25 00:00:00,Millenium fe,16,Area08 fe,11
2016-03-25 00:00:00,Millenium fe,16,Area08 fe,1
2016-03-25 00:00:00,mCon fe,11,YP Ladies,16
2016-03-25 00:00:00,YP Ladies,16,mCon fe,8
2016-03-25 00:00:00,ALSEN fe,16,Wyvern Ladies,11
2016-03-25 00:00:00,ALSEN fe,19,Wyvern Ladies,17
2016-03-25 00:00:00,KoN Sweden,16,KoN Finland,12
2016-03-25 00:00:00,Publiclir.se,16,CPH Wolves,12
2016-03-25 00:00:00,CPH Wolves,10,Publiclir.se,16
2016-03-25 00:00:00,Orbit fe,8,Area08 fe,16
2016-03-25 00:00:00,Area08 fe,2,Orbit fe,16
2016-03-25 00:00:00,Orbit fe,8,Area08 fe,16
2016-03-25 00:00:00,Wyvern Ladies,16,nKnown fe,4
2016-03-25 00:00:00,nKnown fe,4,Wyvern Ladies,16
2016-03-25 00:00:00,mCon fe,16,Rize fe,2
2016-03-25 00:00:00,mCon fe,16,Rize fe,9
2016-03-25 00:00:00,Space Soldiers,16,SK,7
2016-03-25 00:00:00,Space Soldiers,16,SK,14
2016-03-25 00:00:00,SK,16,Space Soldiers,1
2016-03-25 00:00:00,KoN Sweden,16,KoN Norway,11
2016-03-25 00:00:00,Torpedo,16,Empire,7
2016-03-25 00:00:00,Torpedo,16,Empire,10
2016-03-25 00:00:00,Empire,19,Torpedo,17
2016-03-25 00:00:00,Bpro,16,CS-GO.rs,6
2016-03-25 00:00:00,KoN Norway,16,KoN Denmark,9
2016-03-25 00:00:00,doyoueven fe,16,ENYO fe,2
2016-03-25 00:00:00,doyoueven fe,16,ENYO fe,6
2016-03-25 00:00:00,Torpedo,16,Binary Dragons,10
2016-03-25 00:00:00,k1ck,7,Empire,16
2016-03-25 00:00:00,ALSEN fe,5,Karma,16
2016-03-25 00:00:00,Karma,16,ALSEN fe,6
2016-03-25 00:00:00,Millenium fe,8,Secret fe,16
2016-03-25 00:00:00,Secret fe,16,Millenium fe,5
2016-03-25 00:00:00,LDLC fe,16,Planetkey fe,9
2016-03-25 00:00:00,LDLC fe,16,Planetkey fe,3
2016-03-25 00:00:00,CLG Red,16,YP Ladies,4
2016-03-25 00:00:00,CLG Red,16,YP Ladies,13
2016-03-25 00:00:00,dignitas,14,E-frag.net,16
2016-03-25 00:00:00,dignitas,16,E-frag.net,8
2016-03-25 00:00:00,dignitas,6,E-frag.net,16
2016-03-25 00:00:00,Arcade,16,PENTA,13
2016-03-25 00:00:00,Fluffy Gangsters,16,AGG,13
2016-03-25 00:00:00,HellRaisers,16,Preparation,8
