date,team1,score1,team2,score2
2016-01-23,Luminosity,16,FaZe,7
2016-01-23,Luminosity,16,FaZe,5
2016-01-23,eXplosive,14,Binary Dragons,16
2016-01-23,dignitas,16,mousesports,4
2016-01-23,mousesports,13,dignitas,16
2016-01-23,Quest,16,Fluffy Gangsters,14
2016-01-23,Method,16,Quest,11
2016-01-23,Method,16,Quest,14
2016-01-23,Astralis,8,Luminosity,16
2016-01-23,Luminosity,16,Astralis,12
2016-01-23,Rebels,16,Binary Dragons,11
2016-01-23,Binary Dragons,12,Rebels,16
2016-01-23,Natus Vincere,16,dignitas,13
2016-01-23,Natus Vincere,16,dignitas,9
2016-01-24,Arcade,24,Rebels,26
2016-01-24,Arcade,16,Rebels,9
2016-01-24,Arcade,11,Rebels,16
2016-01-24,Luminosity,16,Natus Vincere,19
2016-01-24,Natus Vincere,19,Luminosity,16
2016-01-24,Gambit,14,Method,16
2016-01-24,Method,11,Gambit,16
2016-01-24,Method,8,Gambit,16
2016-01-24,Gambit,16,Rebels,4
2016-01-24,Rebels,3,Gambit,16
2016-01-29,CyberZen,16,Risky,10
2016-01-29,Chiefs,16,MVP.karnal,14
2016-01-29,Chiefs,3,CyberZen,16
2016-01-29,Risky,16,MVP.karnal,8
2016-01-29,Chiefs,16,Risky,9
2016-01-29,E-frag.net,16,CG,10
2016-01-29,LDLC White,13,PENTA,16
2016-01-29,LDLC White,13,CG,16
2016-01-29,PENTA,3,E-frag.net,16
2016-01-29,PENTA,7,E-frag.net,16
2016-01-29,PENTA,6,CG,16
2016-01-29,CG,19,PENTA,21
2016-01-29,PENTA,21,CG,17
2016-01-30,Eat You Alive,2,Renegades,16
2016-01-30,Renegades,13,TheMongolz,16
2016-01-30,Renegades,16,Eat You Alive,7
2016-01-30,Lemondogs,14,HellRaisers,16
2016-01-30,DenDD,2,PixelFire,16
2016-01-30,Lemondogs,13,DenDD,16
2016-01-30,PixelFire,16,HellRaisers,9
2016-01-30,HellRaisers,16,PixelFire,14
2016-01-30,HellRaisers,16,PixelFire,14
2016-01-30,PixelFire,41,DenDD,38
2016-01-30,DenDD,5,PixelFire,16
2016-01-31,Chiefs,16,TheMongolz,13
2016-01-31,Chiefs,10,TheMongolz,16
2016-01-31,Chiefs,9,TheMongolz,16
2016-01-31,CyberZen,8,Renegades,16
2016-01-31,Renegades,16,CyberZen,4
2016-01-31,HellRaisers,21,PENTA,15
2016-01-31,PENTA,16,HellRaisers,11
2016-01-31,HellRaisers,16,PENTA,10
2016-01-31,E-frag.net,16,PixelFire,12
2016-01-31,E-frag.net,13,PixelFire,16
2016-01-31,E-frag.net,16,PixelFire,8
2016-01-31,E-frag.net,11,HellRaisers,16
2016-01-31,HellRaisers,6,E-frag.net,16
2016-01-31,HellRaisers,16,E-frag.net,6
2016-02-01,TheMongolz,16,Renegades,9
2016-02-01,Renegades,2,TheMongolz,16
2016-02-04,CLG,16,EnVyUs,12
2016-02-04,CLG,6,EnVyUs,16
2016-02-04,CLG,13,EnVyUs,16
2016-02-04,dignitas,16,FlipSid3,13
2016-02-04,FlipSid3,12,dignitas,16
2016-02-04,dignitas,16,EnVyUs,9
2016-02-04,dignitas,16,EnVyUs,5
2016-02-04,FlipSid3,14,CLG,16
2016-02-04,CLG,16,FlipSid3,4
2016-02-04,CLG,16,EnVyUs,11
2016-02-04,CLG,4,EnVyUs,16
2016-02-04,CLG,4,EnVyUs,16
2016-02-05,G2,17,Cloud9,19
2016-02-05,Cloud9,13,G2,16
2016-02-05,Cloud9,6,G2,16
2016-02-05,LDLC Blue,16,CPH Wolves,13
2016-02-05,RCTIC,16,Orgless,8
2016-02-05,LDLC Blue,16,RCTIC,14
2016-02-05,CPH Wolves,16,Orgless,8
2016-02-05,Method,2,Astralis,16
2016-02-05,Method,4,Astralis,16
2016-02-05,Epiphany Bolt,14,LDLC White,16
2016-02-05,Cloud9,16,Method,14
2016-02-05,Cloud9,16,Method,11
2016-02-05,Millenium,12,ENCE,16
2016-02-05,Millenium,12,Epiphany Bolt,16
2016-02-05,ENCE,16,LDLC White,14
2016-02-05,Astralis,16,G2,11
2016-02-05,G2,16,Astralis,13
2016-02-05,G2,15,Astralis,19
2016-02-05,CPH Wolves,16,RCTIC,13
2016-02-05,CPH Wolves,16,RCTIC,3
2016-02-05,G2,16,Cloud9,3
2016-02-05,Cloud9,11,G2,16
2016-02-05,LDLC White,16,Epiphany Bolt,1
2016-02-05,Epiphany Bolt,13,LDLC White,16
2016-02-06,Cloud9,13,EnVyUs,16
2016-02-06,Cloud9,12,EnVyUs,16
2016-02-06,LDLC White,16,LDLC Blue,2
2016-02-06,LDLC White,16,LDLC Blue,9
2016-02-06,G2,14,CLG,16
2016-02-06,CLG,6,G2,16
2016-02-06,CLG,16,G2,10
2016-02-06,ENCE,16,CPH Wolves,7
2016-02-06,CPH Wolves,4,ENCE,16
2016-02-06,EnVyUs,16,Astralis,13
2016-02-06,Astralis,16,EnVyUs,13
2016-02-06,EnVyUs,16,Astralis,8
2016-02-06,dignitas,16,CLG,10
2016-02-06,dignitas,16,CLG,14
2016-02-06,ENCE,10,LDLC White,16
2016-02-06,ENCE,7,LDLC White,16
2016-02-07,nEophyte,16,ezkatka,3
2016-02-07,nEophyte,16,ezkatka,12
2016-02-07,Astralis,16,CLG,3
2016-02-07,Astralis,16,CLG,4
2016-02-07,dignitas,4,EnVyUs,16
2016-02-07,dignitas,7,EnVyUs,16
2016-02-07,dignitas,13,EnVyUs,16
2016-02-11,CSGL,16,FlipSid3,14
2016-02-11,FlipSid3,16,CSGL,11
2016-02-11,FlipSid3,16,CSGL,10
2016-02-11,LDLC White,18,mousesports,21
2016-02-11,mousesports,16,LDLC White,13
2016-02-11,HellRaisers,16,Vexed,14
2016-02-11,Vexed,14,HellRaisers,16
2016-02-11,ALTERNATE aTTaX,7,E-frag.net,16
2016-02-11,ALTERNATE aTTaX,8,E-frag.net,16
2016-02-12,CSGL,16,Vexed,10
2016-02-12,CSGL,6,Vexed,16
2016-02-12,Vexed,18,CSGL,21
2016-02-12,ALTERNATE aTTaX,21,LDLC White,16
2016-02-12,ALTERNATE aTTaX,7,LDLC White,16
2016-02-12,ALTERNATE aTTaX,16,LDLC White,10
2016-02-12,mousesports,16,E-frag.net,5
2016-02-12,E-frag.net,13,mousesports,16
2016-02-13,HellRaisers,6,FlipSid3,16
2016-02-13,HellRaisers,13,FlipSid3,16
2016-02-13,Bravado,16,carboN,11
2016-02-13,Bravado,16,carboN,10
2016-02-13,CSGL,14,E-frag.net,16
2016-02-13,E-frag.net,16,CSGL,7
