date,team1,score1,team2,score2
2016-01-23,OpTic,16,NRG,8
2016-01-23,OpTic,16,NRG,8
2016-01-23,Torqued,10,Games Academy,16
2016-01-23,Games Academy,7,Torqued,16
2016-01-23,Torqued,6,Games Academy,16
2016-01-24,TSM,7,Winterfox,16
2016-01-24,Winterfox,16,TSM,11
2016-01-24,Splyce,12,Games Academy,16
2016-01-24,Splyce,9,Games Academy,16
2016-01-24,Winterfox,8,OpTic,16
2016-01-24,Winterfox,16,OpTic,9
2016-01-24,OpTic,10,Winterfox,16
2016-01-25,Games Academy,16,Winterfox,4
2016-01-25,Games Academy,12,Winterfox,16
2016-01-25,Winterfox,10,Games Academy,16
2016-01-25,CeX,14,seven,16
2016-01-25,CeX,16,seven,10
2016-01-25,seven,16,CeX,9
2016-01-25,neXtPlease!,10,eSuba,16
2016-01-25,eSuba,16,neXtPlease!,3
2016-01-26,neXtPlease!,16,CeX,9
2016-01-26,eSuba,16,seven,13
2016-01-26,eSuba,16,seven,12
2016-01-26,seven,7,neXtPlease!,16
2016-01-26,neXtPlease!,16,eSuba,21
2016-01-28,Epiphany Bolt,10,EU4IA,16
2016-01-28,eSuba,5,Method,16
2016-01-28,fm-eSports,16,Lions,14
2016-01-28,GameAgents,16,Imperial Dragons,8
2016-01-29,Eastern Vikings,10,Granted,16
2016-01-29,EU4IA,9,Method,16
2016-01-29,Method,16,EU4IA,6
2016-01-30,fm-eSports,19,GameAgents,17
2016-01-30,fm-eSports,16,GameAgents,13
2016-01-31,mousesports,9,dignitas,16
2016-01-31,mousesports,3,dignitas,16
2016-01-31,NiP,9,ex-Titan,16
2016-01-31,NiP,13,ex-Titan,16
2016-02-04,Platinium,16,Sine Metu,14
2016-02-05,KoN Norway,16,KoN Finland,8
2016-02-05,SK,16,ENCE,2
2016-02-05,ENCE,6,SK,16
2016-02-05,KoN Denmark,16,KoN Norway,11
2016-02-05,KoN Sweden,16,KoN Denmark,14
2016-02-05,YP,16,Ancient,14
2016-02-05,Ancient,0,YP,16
2016-02-06,Quest,16,Binary Dragons,14
2016-02-06,Quest,31,Binary Dragons,27
2016-02-06,EYES ON U,10,PENTA,16
2016-02-06,EYES ON U,7,PENTA,16
2016-02-06,EURONICS,16,Playing Ducks,8
2016-02-06,Playing Ducks,16,EURONICS,2
2016-02-06,Playing Ducks,16,EURONICS,6
2016-02-06,8bit,7,PARTY,16
2016-02-06,PARTY,11,8bit,16
2016-02-06,PARTY,14,8bit,16
2016-02-06,EYES ON U,13,EURONICS,16
2016-02-06,EYES ON U,16,EURONICS,13
2016-02-06,EURONICS,5,EYES ON U,16
2016-02-06,eXplosive,12,Arcade,16
2016-02-06,Arcade,13,eXplosive,16
2016-02-06,Arcade,16,eXplosive,5
2016-02-06,Playing Ducks,6,PENTA,16
2016-02-06,Playing Ducks,6,PENTA,16
2016-02-06,Fluffy Gangsters,12,Revolution,16
2016-02-06,Fluffy Gangsters,17,Revolution,19
2016-02-08,nerdRage,5,DenDD,16
2016-02-09,CPH Wolves,11,Tricked,16
2016-02-09,Astralis,16,Natus Vincere,13
2016-02-09,Natus Vincere,16,Astralis,14
2016-02-09,Platinium,9,Granted,16
2016-02-09,Granted,11,Platinium,16
2016-02-09,Platinium,16,Granted,8
2016-02-09,EnVyUs,22,SK,19
2016-02-09,SK,6,EnVyUs,16
2016-02-10,Enemy,12,Renegades,16
2016-02-10,Enemy,16,Renegades,10
2016-02-10,OpTic,16,AGG,10
2016-02-10,OpTic,16,AGG,11
2016-02-10,G2,10,Astralis,16
2016-02-10,G2,16,Astralis,8
2016-02-10,FaZe,16,Virtus.pro,9
2016-02-10,Virtus.pro,10,FaZe,16
2016-02-11,Liquid,8,compLexity,16
2016-02-11,compLexity,14,Liquid,16
2016-02-11,Enemy,16,NRG,7
2016-02-11,Enemy,10,NRG,16
2016-02-11,Tricked,12,DenDD,16
2016-02-11,Tricked,7,DenDD,16
2016-02-11,SK,16,Natus Vincere,7
2016-02-11,Natus Vincere,12,SK,16
2016-02-11,fnatic,16,Virtus.pro,12
2016-02-11,Virtus.pro,9,fnatic,16
2016-02-12,Cloud9,16,CLG,12
2016-02-12,Cloud9,16,CLG,5
2016-02-12,Liquid,13,Luminosity,16
2016-02-12,Liquid,11,Luminosity,16
2016-02-12,KoN Norway,16,KoN Finland,6
2016-02-12,KoN Denmark,16,KoN Norway,10
2016-02-12,KoN Sweden,14,KoN Denmark,16
2016-02-14,Tempo Storm,16,compLexity,13
2016-02-14,CLG,16,Potato Streamers,5
2016-02-14,ENCE,16,CG,8
2016-02-14,ENCE,14,CG,16
2016-02-14,CG,16,ENCE,14
2016-02-14,PENTA,8,DenDD,16
2016-02-14,Publiclir.se,16,Torpedo,14
2016-02-14,DenDD,16,Publiclir.se,8
2016-02-14,CLG,16,Mild,8
2016-02-14,Mild,8,CLG,16
2016-02-14,Cloud9,16,Day Dreamers,6
2016-02-14,Cloud9,16,Day Dreamers,11
2016-02-14,Enemy,9,OpTic,16
2016-02-14,Enemy,16,OpTic,9
2016-02-14,Enemy,6,OpTic,16
2016-02-14,Liquid,13,Tempo Storm,16
2016-02-14,Tempo Storm,14,Liquid,16
2016-02-14,Liquid,10,Tempo Storm,16
2016-02-15,QuetzaL,1,ex-Astral Authority,16
2016-02-15,Noble,16,ACE,3
2016-02-15,Cloud9,4,OpTic,16
2016-02-15,OpTic,11,Cloud9,16
2016-02-15,Cloud9,16,OpTic,10
2016-02-15,Vault,16,Bee's Money Crew,11
2016-02-15,Bee's Money Crew,16,Vault,12
2016-02-15,Vault,16,Bee's Money Crew,5
2016-02-15,CLG,6,Tempo Storm,16
2016-02-15,CLG,12,Tempo Storm,16
2016-02-15,Noble,9,ex-Astral Authority,16
2016-02-15,Cloud9,14,Tempo Storm,16
2016-02-15,Cloud9,17,Tempo Storm,19
2016-02-15,fnatic,16,G2,5
2016-02-15,nerdRage,0,gBots,16
2016-02-15,gBots,16,nerdRage,6
2016-02-15,fnatic,16,G2,7
2016-02-15,Virtus.pro,5,dignitas,16
2016-02-15,dignitas,16,Virtus.pro,14
2016-02-16,gBots,7,EU4IA,16
2016-02-16,gBots,16,EU4IA,8
2016-02-16,FlipSid3,7,Astralis,16
2016-02-16,FlipSid3,7,Astralis,16
2016-02-16,EnVyUs,4,fnatic,16
2016-02-16,k1ck,9,Publiclir.se,16
2016-02-16,k1ck,3,Publiclir.se,16
2016-02-16,fnatic,5,EnVyUs,16
2016-02-17,compLexity,2,Luminosity,16
2016-02-17,compLexity,9,Luminosity,16
2016-02-17,Splyce,4,OpTic,16
2016-02-17,OpTic,16,Splyce,6
2016-02-17,Virtus.pro,9,Natus Vincere,16
2016-02-17,Natus Vincere,16,Virtus.pro,12
2016-02-17,NiP,16,dignitas,8
2016-02-17,NiP,16,dignitas,8
2016-02-17,E-frag.net,16,FlipSid3,9
2016-02-17,FlipSid3,19,E-frag.net,16
2016-02-18,CLG,5,Renegades,16
2016-02-18,Renegades,16,CLG,6
2016-02-18,compLexity,16,Enemy,12
2016-02-18,compLexity,13,Enemy,16
2016-02-18,AlienTech,10,nerdRage,16
2016-02-18,AlienTech,3,nerdRage,16
