,date,team1,score1,team2,score2
131,2016-02-01,TheMongolz,16,Renegades,9
132,2016-02-01,Renegades,2,TheMongolz,16
133,2016-02-04,CLG,16,EnVyUs,12
134,2016-02-04,CLG,6,EnVyUs,16
135,2016-02-04,CLG,13,EnVyUs,16
136,2016-02-04,dignitas,16,FlipSid3,13
137,2016-02-04,FlipSid3,12,dignitas,16
138,2016-02-04,dignitas,16,EnVyUs,9
139,2016-02-04,dignitas,16,EnVyUs,5
140,2016-02-04,FlipSid3,14,CLG,16
141,2016-02-04,CLG,16,FlipSid3,4
142,2016-02-04,Sine Metu,14,Platinium,16
143,2016-02-04,CLG,16,EnVyUs,11
144,2016-02-04,CLG,4,EnVyUs,16
145,2016-02-04,CLG,4,EnVyUs,16
146,2016-02-05,G2,17,Cloud9,19
147,2016-02-05,Cloud9,13,G2,16
148,2016-02-05,Cloud9,6,G2,16
149,2016-02-05,LDLC Blue,16,CPH Wolves,13
150,2016-02-05,RCTIC,16,Orgless,8
151,2016-02-05,LDLC Blue,16,RCTIC,14
152,2016-02-05,CPH Wolves,16,Orgless,8
153,2016-02-05,Method,2,Astralis,16
154,2016-02-05,Method,4,Astralis,16
155,2016-02-05,Epiphany Bolt,14,LDLC White,16
156,2016-02-05,Cloud9,16,Method,14
157,2016-02-05,Cloud9,16,Method,11
158,2016-02-05,Millenium,12,ENCE,16
159,2016-02-05,Millenium,12,Epiphany Bolt,16
160,2016-02-05,ENCE,16,LDLC White,14
161,2016-02-05,Astralis,16,G2,11
162,2016-02-05,G2,16,Astralis,13
163,2016-02-05,G2,15,Astralis,19
164,2016-02-05,KoN Norway,16,KoN Finland,8
165,2016-02-05,CPH Wolves,16,RCTIC,13
166,2016-02-05,CPH Wolves,16,RCTIC,3
167,2016-02-05,SK,16,ENCE,2
168,2016-02-05,ENCE,6,SK,16
169,2016-02-05,KoN Denmark,16,KoN Norway,11
170,2016-02-05,KoN Sweden,16,KoN Denmark,14
171,2016-02-05,Cloud9,3,G2,16
172,2016-02-05,Cloud9,11,G2,16
173,2016-02-05,Epiphany Bolt,1,LDLC White,16
174,2016-02-05,LDLC White,16,Epiphany Bolt,13
175,2016-02-05,YP,16,Ancient,14
176,2016-02-05,Ancient,0,YP,16
177,2016-02-06,Cloud9,13,EnVyUs,16
178,2016-02-06,Cloud9,12,EnVyUs,16
179,2016-02-06,Quest,16,Binary Dragons,14
180,2016-02-06,Binary Dragons,27,Quest,31
181,2016-02-06,LDLC Blue,2,LDLC White,16
182,2016-02-06,LDLC White,16,LDLC Blue,9
183,2016-02-06,EYES ON U,10,PENTA,16
184,2016-02-06,EYES ON U,7,PENTA,16
185,2016-02-06,Playing Ducks,8,EURONICS,16
186,2016-02-06,EURONICS,2,Playing Ducks,16
187,2016-02-06,Playing Ducks,16,EURONICS,6
